"編號","單字","詞性","中文意思","英文例句","例句翻譯"
"491","division","n.","分開、劃分、除法、部門","She works in the sales division of a major electronics company.","她在一家大型電子公司的銷售部門工作。"
"492","dizzy","adj.","頭暈的","I felt a bit dizzy after spinning around too fast on the playground.","在操場上旋轉得太快後，我感到有點頭暈。"
"493","do","v.","做、執行、助動詞","Remember to do your homework before you watch television tonight.","今晚看電視之前，記得要做你的功課。"
"494","doctor","n.","醫生、博士","The doctor advised him to rest at home and drink plenty of water.","醫生建議他留在家裡休息並多喝水。"
"495","document","n.","文件、公文","Please sign your name at the bottom of this official document.","請在這份正式文件的底部簽上您的名字。"
"496","dog","n./v.","狗；尾隨、緊跟","The friendly dog wagged its tail when it saw its owner.","那隻友善的狗看到主人時搖了搖尾巴。"
"497","doll","n./v.","洋娃娃、玩偶；打扮漂亮","My little sister loves to play with her collection of Barbie dolls.","我妹妹喜歡玩她收藏的芭比娃娃。"
"498","dollar","n.","元（美金等貨幣單位）","The sandwich and a cup of tea cost me exactly five dollars.","這份三明治和一杯茶總共花了我剛好五美元。"
"499","dolphin","n.","海豚","We were lucky to see a group of dolphins jumping out of the ocean.","我們很幸運地看到一群海豚從小海裡跳出來。"
"500","donkey","n.","驢子","The farmer used a donkey to carry the heavy bags of vegetables.","農夫用一隻驢子來馱那幾大袋沉重的蔬菜。"
"501","door","n.","門","Please don't forget to lock the front door when you leave.","離開時請不要忘記鎖上大門（前門）。"
"502","dot","n./v.","點、圓點；點綴、打點","The lady wore a stylish blue dress with small white dots.","那位女士穿了一件帶有白色小圓點的時尚藍色洋裝。"
"503","double","adj./adv./v.","雙倍的；雙倍地；使加倍","A double room at the hotel has two comfortable big beds.","飯店的雙人房有兩張舒適的大床。"
"504","Double Tenth Day","ph.","雙十節","People gather in front of the Presidential Office to celebrate Double Tenth Day.","人們聚集在總統府前慶祝雙十節。"
"505","doubt","n./v.","懷疑、疑問","There is no doubt that she is the best piano player in our school.","毫無疑問，她是我們學校最棒的鋼琴家。"
"506","doughnut","n.","甜甜圈","He bought a chocolate doughnut and a cup of milk for breakfast.","他買了一個巧克力甜甜圈和一杯牛奶當早餐。"
"507","down","adv./prep.","向下、在下方","The children ran joyfully down the hill to catch the ball.","孩子們開心地跑下山丘去接球。"
"508","downstairs","adj./adv.","樓下的；在樓下","Our living room is downstairs, but all the bedrooms are upstairs.","我們的客廳在樓下，但所有的臥室都在樓上。"
"509","downtown","n./adj./adv.","市中心、商業區；市中心的；在市中心","They took the subway to go shopping at a large department store downtown.","他們搭地鐵去市中心的一家大型百貨公司購物。"
"510","dozen","n.","一打（十二個）、許多","My mother bought a dozen fresh eggs from the supermarket yesterday.","我媽媽昨天從超市買了一打新鮮雞蛋。"
"511","Dr.","n.","醫生、博士（Doctor的縮寫）","Dr. Wang is a very kind pediatrician who loves helping children.","王醫生是一位非常仁慈、喜歡幫助兒童的小兒科醫生。"
"512","dragon","n.","龍","The dragon is a powerful and mythical creature in many Asian stories.","在許多亞洲故事中，龍是一種強大且神祕的生物。"
"513","drama","n.","戲劇、劇本、校園劇","She decided to join the school drama club to practice her acting skills.","她決定加入學校的戲劇社以練習她的演技。"
"514","draw","v./n.","畫、拉、吸引；平手","He likes to draw beautiful landscapes with colored pencils in his free time.","他有空時喜歡用彩色鉛筆畫美麗的風景畫。"
"515","drawer","n.","抽屜","I found my missing passport hidden inside the bottom drawer of the desk.","我在書桌最底層的抽屜裡找到了我遺失的護照。"
"516","dream","n./v.","夢、夢想；做夢","My biggest dream is to build a successful software company in the future.","我最大的夢想是未來建立一家成功的軟體公司。"
"517","dress","n./v.","洋裝、禮服；穿衣、打扮","She wore a beautiful pink dress to her best friend's wedding party.","她穿了一件美麗的粉紅色洋裝去參加她最好朋友的婚禮派對。"
"518","dresser","n.","化妝台、矮櫃","There is a large mirror hanging right above the wooden dresser in the bedroom.","臥室的木製化妝台正上方掛著一面大鏡子。"
"519","drink","v./n.","喝、飲用；飲料","You should drink at least eight glasses of water every day to stay healthy.","你應該每天至少喝八杯水以保持健康。"
"520","drive","v./n.","駕駛、驅使；車程","My uncle promised to teach me how to drive a car next summer vacation.","我舅舅答應明年暑假要教我怎麼開車。"
"521","driver","n.","司機、駕駛員","The bus driver greeted every passenger warmly as they got on the bus.","公車司機在每位乘客上車時都熱情地向他們打招呼。"
"522","drop","v./n.","掉落、丟下、放棄；滴","Be careful not to drop that fragile glass vase on the hard floor.","小心別把那個易碎的玻璃花瓶掉在堅硬的地板上。"
"523","drug","n./v.","藥物、毒品；使服麻醉藥","The doctor explained how to use this medical drug safely to the patient.","醫生向病人解釋了如何安全地使用這種醫療藥物。"
"524","drugstore","n.","藥妝店、藥局","I need to go to the nearby drugstore to buy some cold medicine and vitamins.","我需要去附近的藥局買一些感冒藥和維他命。"
"525","dry","adj./v.","乾燥的、乾旱的；弄乾、擦乾","The laundry dried quickly outside because it was a windy and sunny day.","因為今天是個有風又晴朗的日子，衣服在外面很快就曬乾了。"
"526","dryer","n.","烘乾機、吹風機","She used a hair dryer to dry her long hair quickly after taking a shower.","她洗完澡後用吹風機迅速將長髮吹乾。"
"527","duck","n./v.","鴨子；快速低頭躲避","A family of ducks is swimming peacefully in the middle of the school pond.","一群鴨子正在學校池塘中央平靜地游泳。"
"528","dumb","adj.","啞的、說不出話的、愚蠢的","She stood dumb with surprise when she heard the unexpected good news.","當她聽到那則出乎意料的好消息時，她驚訝得說不出話來。"
"529","dumpling","n.","水餃、點心","Eating boiled pork dumplings during the Lunar New Year brings good luck.","在農曆新年吃豬肉水餃會帶來好運。"
"530","during","prep.","在...期間","Many tourists love to visit Japan during the beautiful cherry blossom season.","許多遊客喜歡在美麗的櫻花季期間造訪日本。"
"531","duty","n.","責任、義務、職責、關稅","It is the police officer's primary duty to protect all the citizens.","保護所有公民是警察的首要職責。"
"532","each","adj./pron./adv.","每個、各自的；每個；各自地","The teacher gave a piece of delicious chocolate cake to each student.","老師給每個學生一塊美味的巧克力蛋糕。"
"533","eagle","n.","老鷹","We watched a majestic eagle soaring high above the mountain peaks.","我們看著一隻雄壯的老鷹在山峰高空上翱翔。"
"534","ear","n.","耳朵、聽覺","He put on his new noise-canceling headphones over his ears.","他把新買的抗噪耳機戴在耳朵上。"
"535","early","adj./adv.","早期的、早的；早地","If you wake up early in the morning, you can catch the first train.","如果你早上早點起床，你就能趕上第一班火車。"
"536","earn","v.","賺取、贏得、獲得","He worked part-time as a waiter to earn some extra pocket money.","他兼職當服務生以賺取一些額外的零用錢。"
"537","earth","n.","地球、土地、泥土","The Earth takes exactly three hundred and sixty-five days to travel around the sun.","地球繞太陽公轉一圈剛好需要三百六十五天。"
"538","east","n./adj./adv.","東方；東方的；向東地","The sun rises in the east and sets in the west every single day.","太陽每天從東方升起，從西方落下。"
"539","Easter","n.","復活節","Children love to hunt for hidden colorful chocolate eggs on Easter Sunday.","孩子們喜歡在復活節星期天尋找隱藏的五彩巧克力蛋。"
"540","eastern","adj.","東方的、東部的","Hualien is located in the eastern part of Taiwan and has beautiful beaches.","花蓮位於台灣的東部，擁有美麗的海灘。"
"541","easy","adj.","容易的、輕鬆的","The English quiz was so easy that everyone in our class got a perfect score.","英文小考太容易了，我們班每個人都拿了滿分。"
"542","eat","v.","吃","We decided to eat dinner at a traditional Italian restaurant tonight.","我們決定今晚在一家傳統的義大利餐廳吃晚餐。"
"543","edge","n./v.","邊緣、優勢；緩慢移動","Don't put your glass mug too close to the edge of the dining table.","不要把你的玻璃馬克杯放得太靠近餐桌邊緣。"
"544","education","n.","教育","Getting a good college education can open up many great career opportunities.","接受良好的大學教育可以開啟許多極佳的職涯機會。"
"545","effect","n.","效果、影響、結果","The cooling effect of the air conditioner made the room very comfortable.","冷氣的製冷效果讓整個房間變得非常舒適。"
"546","effective","adj.","有效的","Using flashcards is an effective way to memorize new vocabulary words.","使用字卡是背誦新單字的一種有效方法。"
"547","effort","n.","努力、精力","She put a lot of effort into preparing for her final piano performance.","她投入了大量的努力來準備她的期末鋼琴演奏。"
"548","egg","n.","雞蛋、卵","My brother usually boils two fresh eggs for his healthy breakfast.","我哥哥通常會煮兩個新鮮雞蛋當作他的健康早餐。"
"549","eight","n./adj.","八；八的","Our school library usually opens at eight o'clock every morning.","我們學校的圖書館通常在每天早上八點整開門。"
"550","eighteen","n./adj.","十八；十八的","In many countries, you can legally drive a car when you turn eighteen.","在許多國家，當你滿十八歲時就可以合法開車。"
"551","eighty","n./adj.","八十；八十的","My great-grandmother is eighty years old but she still walks every day."," my 太祖母今年八十歲了，但她每天仍然堅持散步。"
"552","either","adj./pron./adv.","任一的；任一個；也（用於否定句）","You can choose either the chocolate cake or the fruit salad for dessert.","甜點你可以選擇巧克力蛋糕或水果沙拉的任一個。"
"553","elder","adj./n.","年長的、長輩的；長者、長輩","We should show great respect to the elders in our local community.","我們應該對當地社區的長輩們展現出極大的尊重。"
"554","elect","v./adj.","選舉、推選；選定的","The club members will meet tonight to elect a new student president.","社團成員今晚將會面，選出一位新的學生社長。"
"555","election","n.","選舉","The presidential election takes place every four years in this country.","這個國家的總統選舉每四年舉行一次。"
"556","electric","adj.","電的、電動的","He bought an electric bicycle to commute to his office more easily.","他買了一輛電動腳踏車，以便更輕鬆地通勤到辦公室。"
"557","element","n.","元素、成分、要素","Honesty is a crucial element of building a strong and lasting friendship.","誠實是建立一段堅固且持久友誼的重要元素（要素）。"
"558","elephant","n.","大象","We saw a massive African elephant spraying water with its long trunk.","我們看到一隻巨大的非洲大象用牠的長鼻子噴水。"
"559","eleven","n./adj.","十一；十一的","There are exactly eleven soccer players on the field for each team.","每支球隊在球場上剛好有十一名的足球隊員。"
"560","else","adv.","其他、否則","Would you like to order anything else, or is that everything for today?","您還想點其他什麼東西嗎？還是今天就先這樣？"
"561","e-mail","n./v.","電子郵件；發電子郵件","Please send me an e-mail if you need to change the meeting schedule.","如果您需要更改會議行程，請給我發一封電子郵件。"
"562","embarrass","v.","使尷尬、使難堪","It will embarrass him if you talk about his mistake in front of everyone.","如果你在大家面前談論他的錯誤，會讓他感到很尷尬。"
"563","emotion","n.","情感、情緒","The dramatic movie was so sad that it brought out strong emotions in people.","那部戲劇性的電影太悲傷了，引發了人們強烈的情感。"
"564","emphasize","v.","強調","The school teacher always emphasizes the importance of regular review.","學校老師總是強調規律複習的重要性。"
"565","employ","v.","雇用、利用","The large technology company plans to employ fifty new software developers.","這家大型科技公司計畫雇用五十名新的軟體開發人員。"
"566","empty","adj./v.","空的、空虛的；倒空、使變空","The glass bottle was completely empty, so I went to refill it with water.","這個玻璃瓶完全是空的，所以我去重新裝滿水。"
"567","encourage","v.","鼓勵、激勵","My parents always encourage me to try new activities and hobbies.","我父母總是鼓勵我去嘗試新的活動和嗜好。"
"568","end","n./v.","結束、目標、盡頭；結束、終止","The exciting movie had a very surprising end that no one expected.","這部刺激的電影有一個沒人預料到的、非常令人驚訝的結局（結束）。"
"569","enemy","n.","敵人","In the science fiction story, the soldiers fought bravely against the alien enemy.","在科幻故事中，士兵們勇敢地與外星敵人作戰。"
"570","energy","n.","能量、精力、活力","Children always seem to have plenty of energy to play around all day.","孩子們似乎整天都有滿滿的精力到處玩耍。"
"571","engine","n.","引擎、發動機","The mechanic is checking the sports car's engine to see why it makes a strange noise.","技工正在檢查這部跑車的引擎，看看它為什麼會發出怪聲。"
"572","engineer","n./v.","工程師；設計、策劃","My brother works as a software engineer at a famous technology company.","我哥哥在一家著名的科技公司擔任軟體工程師。"
"573","England","n.","英格蘭、英國","London is the capital city of England and attracts millions of tourists every year.","倫敦是英格蘭的首都，每年吸引數百萬名遊客。"
"574","English","adj./n.","英國的、英語的；英語、英國人","Learning English helps people communicate with others from different countries.","學習英語有助於人們與來自不同國家的人進行溝通。"
"575","Englishman","n.","英國人（男子）","The polite Englishman ordered a cup of traditional black tea with milk.","那位有禮貌的英國男子點了一杯傳統的奶茶（加牛奶的紅茶）。"
"576","enjoy","v.","享受、喜歡","We really enjoy watching the beautiful sunset at the beach during summer.","夏天時我們非常享受在海灘觀賞美麗的落日。"
"577","enough","adj./adv./n.","足夠的；足夠地；足夠","There is enough food and fruit in the refrigerator for everyone tonight.","今晚冰箱裡有足夠的食物和水果供每個人享用。"
"578","enter","v.","進入、參加","Please knock on the door gently before you enter the principal's office.","在進入校長辦公室之前，請先輕輕敲門。"
"579","entire","adj.","整個的、完全的","The hungry little boy ate the entire pizza by himself after school.","那個肚子餓的小男孩放學後自己吃掉了整個披薩。"
"580","entrance","n.","入口、門口","We agreed to meet our friends at the main entrance of the department store.","我們約好和朋友們在百貨公司的正門入口處見面。"
"581","envelope","n.","信封","She put the handwritten thank-you card inside a colorful pink envelope.","她把手寫的感謝卡放進一個粉紅色的彩色信封裡。"
"582","environment","n.","環境","We should reduce plastic waste to protect our natural environment.","我們應該減少塑膠垃圾以保護我們的自然環境。"
"583","envy","n./v.","羨慕、嫉妒","Many of her classmates envy her ability to play the violin so beautifully.","她的許多同學都羨慕她能把小提琴拉得這麼好（美麗）。"
"584","equal","adj./n./v.","相等的、平等的；對手；等於","Two plus three equals five, which is a simple mathematical question.","二加三等於五，這是一個簡單的數學問題。"
"585","eraser","n.","橡皮擦、黑板擦","Can I borrow your rubber eraser for a moment to fix my drawing mistake?","我可以借用一下你的橡皮擦，來修正我畫畫時的錯誤嗎？"
"586","error","n.","錯誤、失誤","The computer program stopped working suddenly because of a system error.","電腦程式因為系統錯誤而突然停止運作。"
"587","especially","adv.","特別是、尤其是","I love outdoor activities, especially hiking in the mountains on weekends.","我喜歡戶外活動，尤其是週末去山裡健行。"
"588","Europe","n.","歐洲","They plan to visit several historical countries in Europe next spring.","他們計畫明年春天造訪歐洲的幾個歷史國家。"
"589","European","n./adj.","歐洲人；歐洲的","French, Italian, and German are well-known European languages.","法語、義大利語和德語都是眾所皆知的歐洲語言。"
"590","eve","n.","前夕（尤指節日前夜）","Our family always gathers to eat a big dinner on Chinese New Year's Eve.","我們家總是在除夕（農曆新年夜）聚集在一起吃一頓大餐。"
"591","even","adv.","甚至、連","The puzzle was so difficult that even the teacher couldn't solve it quickly.","這個謎題太難了，甚至連老師都無法快速解開。"
"592","evening","n.","傍晚、晚上","He likes to take a peaceful walk in the park during a cool autumn evening.","他喜歡在涼爽的秋夜裡在公園裡平靜地散步。"
"593","event","n.","事件、活動、比賽項目","The school sports day is an exciting annual event for all the students.","學校運動會對所有學生來說都是一項令人興奮的年度盛事（活動）。"
"594","ever","adv.","曾經、無論何時","Have you ever traveled to another country by yourself before?","你以前曾經自己一個人去另一個國家旅遊過嗎？"
"595","every","adj.","每個的、每隔...的","The public bus passes by our neighborhood station every fifteen minutes.","公車每隔十五分鐘就會經過我們社區的車站。"
"596","everybody","pron.","每個人","Everybody in the classroom stood up and clapped when the performance ended.","表演結束時，教室裡的每個人都站起來鼓掌。"
"597","everyone","pron.","每個人","The teacher smiled and wished everyone a wonderful and safe summer vacation.","老師微笑著祝每個人都有一個美好且安全的暑假。"
"598","everything","pron.","每件事、一切","Don't worry too much because everything will be fine in the end.","不要太擔心，因為一切最終都會好起來的。"
"599","everywhere","adv.","到處、處處","In the spring, beautiful and colorful flowers can be seen everywhere.","春天時，到處都可以看到美麗且色彩斑斕的花朵。"
"600","evil","adj./n.","邪惡的；邪惡、罪惡","In many classic stories, good always triumphs over the forces of evil.","在許多經典故事中，正義總是戰勝邪惡的力量。"
"601","exact","adj.","確切的、精確的","Could you please tell me the exact time when the train will arrive?","可以請您告訴我火車將會抵達的確切時間嗎？"
"602","exam","n.","考試（examination的縮寫）","She studied very hard last night to prepare for the final math exam.","她昨晚非常努力讀書，為了準備期末數學考試。"
"603","examine","v.","檢查、診察、調查","The dentist carefully examined my teeth to check for any cavities.","牙醫仔細地檢查了我的牙齒，看看有沒有任何蛀牙。"
"604","example","n.","例子、榜樣","Our teacher gave us a clear example to explain the difficult grammar rule.","我們老師舉了一個清晰的例子來解釋這個困難的文法規則。"
"605","excellent","adj.","優秀的、極好的","The hotel we stayed at provided excellent service and delicious breakfast.","我們入住的飯店提供了極好的服務和美味的早餐。"
"606","except","prep.","除了...之外","The museum is open every day except Monday for regular maintenance.","該博物館除了星期一因例行維護不開放外，每天都開放。"
"607","excite","v.","使興奮、使激動","The good news about the upcoming school trip excited all the students.","關於即將到來的校外教學的好消息，讓所有的學生都很興奮。"
"608","excited","adj.","感到興奮的","The children were very excited when they saw the first snowfall of winter.","當孩子們看到冬天的第一場雪時，他們感到非常興奮。"
"609","exciting","adj.","令人興奮的、刺激的","We watched a very exciting basketball game on television last night.","我們昨晚在電視上觀看了一場非常令人興奮的籃球比賽。"
"610","excuse","n./v.","藉口、理由；原諒、寬恕","He made a poor excuse for being late to the important business meeting.","他為自己參加重要商務會議遲到找了一個很爛的藉口。"
"611","exercise","n./v.","運動、練習、習題；運動、鍛鍊","Doing regular exercise like jogging can keep you healthy and strong.","做規律的運動（例如慢跑）可以保持身體健康與強壯。"
"612","exist","v.","存在","Some children believe that fairies and magic still exist in the world.","有些孩子相信世界上仍然存在著仙子與魔法。"
"613","exit","n./v.","出口、安全門；出去、離開","In case of an emergency, please walk calmly toward the nearest fire exit.","如果發生緊急情況，請冷靜地走向最近的防火出口。"
"614","expect","v.","期待、預期、期盼","The weather report says we can expect a heavy rain shower this afternoon.","天氣預報說我們今天下午可以預期會有一場大雨。"
"615","expensive","adj.","昂貴的","The diamond ring in the jewelry store window is too expensive for me.","珠寶店櫥窗裡的那枚鑽石戒指對我來說太昂貴了。"
"616","experience","n./v.","經驗、經歷；體驗、經歷","Working at the summer camp was a wonderful experience for the students.","在夏令營工作對學生們來說是一次美妙的經驗。"
"617","expert","n./adj.","專家；熟練的、專家的","He is a computer expert who can fix any technical problem easily.","他是一位電腦專家，可以輕鬆修理任何技術問題。"
"618","explain","v.","解釋、說明","Can you explain how to solve this difficult math question step by step?","你能一步一步解釋如何解答這道困難的數學題嗎？"
"619","export","n./v.","出口、輸出品；出口、輸出","Taiwan is well-known for the export of high-quality electronic products.","台灣以出口高品質的電子產品而聞名。"
"620","express","v./adj./n.","表達、表示；快遞的、快速的；快遞","It is sometimes difficult for shy people to express their true feelings.","對害羞的人來說，有時候很難表達他們真實的感受。"
"621","extra","adj./adv./n.","額外的、外加的；特別地；額外收費的事物","The hotel charged us an extra fee for using the high-speed swimming pool.","飯店因為我們使用高速游泳池而向我們收取了額外的費用。"
"622","eye","n.","眼睛","You should rest your eyes after looking at the computer screen for an hour.","看電腦螢幕一個小時後，你應該讓眼睛休息一下。"
"623","face","n./v.","臉、面孔；面對、面向","She always faces difficult challenges with a big smile on her face.","她的臉上總是帶著燦爛的笑容來面對艱難的挑戰。"
"624","fact","n.","事實、真相","It is a known fact that the Earth rotates on its axis once every day.","地球每天繞著自己的軸心自轉圈是一個已知的事實。"
"625","factory","n.","工廠","My uncle owns a small shoe factory that produces thousands of boots.","我舅舅擁有一家生產數千雙靴子的小型鞋子工廠。"
"626","fail","v./n.","失敗、不及格、未能；不及格","He was sad because he failed to pass the driving test for the second time.","他很傷心，因為他第二次未能通過駕照考試。"
"627","failure","n.","失敗、失敗的人或事","Failure is not the opposite of success; it is a part of the learning journey.","失敗並不是成功的反面，它是學習旅程的一部分。"
"628","fair","adj./n.","公平的、美好的；市集、展覽會","The teacher always makes sure that every student gets a fair chance.","老師總是確保每個學生都能獲得公平的機會。"
"629","fall","v./n.","落下、跌倒、秋天（美式）；落下、秋季","The colorful leaves fall from the trees and cover the ground in autumn.","秋天時，五彩斑斕的葉子從樹上落下，鋪滿了地面。"
"630","false","adj.","虛假的、錯誤的、不真實的","Please write T for true statements and F for false statements on the quiz.","請在小考上將正確的敘述寫 T，錯誤的敘述寫 F。"
"631","family","n.","家庭、家人","My family usually gets together for a big dinner on the weekends.","我的家人通常會在週末聚在一起享用豐盛的晚餐。"
"632","famous","adj.","著名的","The famous singer will perform a live concert in the city stadium tonight.","那位著名的歌手今晚將在城市體育館舉辦現場音樂會。"
"633","fan","n.","迷、粉絲；風扇","She is a big fan of this band and has collected all their albums.","她是這個樂團的超級粉絲，並收集了他們所有的專輯。"
"634","fancy","adj./v./n.","昂貴的、精緻的；想要、迷戀；愛好","He bought a fancy watch to wear for his sister's wedding party.","他買了一支精緻的（昂貴的）手錶，準備在姐姐的婚禮上佩戴。"
"635","fantastic","adj.","極好的、幻想的","We had a fantastic time exploring the beautiful island during our vacation.","我們在假期中探索那座美麗島嶼時，度過了一段極好的時光。"
"636","far","adj./adv.","遠的；遠地","It is not very far from my house to the nearest public library.","從我家到最近的公共圖書館並不遠。"
"637","farm","n./v.","農場；務農、耕作","Many students visited the organic farm to learn how vegetables are grown.","許多學生參觀了那座有機農場，以學習蔬菜是如何種植的。"
"638","farmer","n.","農夫","The farmer works very hard in his fields from early morning until sunset.","那位農夫從清晨到日落都在田裡辛勤地工作。"
"639","fashionable","adj.","流行的、時尚的","She always wears the most fashionable clothes to keep up with the latest trends.","她總是穿著最流行的衣服，以跟上最新的潮流。"
"640","fast","adj./adv.","快的、迅速的；快地","The express train is much faster than the local train for long-distance travel.","對於長途旅行來說，直達車比區間車快得多。"
"641","fat","adj./n.","胖的、肥胖的；脂肪","Eating too much junk food can lead to health problems like gaining too much fat.","吃太多的垃圾食物可能會導致健康問題，像是增加過多的脂肪。"
"642","father","n.","父親","My father taught me how to ride a bicycle when I was just five years old.","我父親在我五歲時就教我如何騎腳踏車。"
"643","faucet","n.","水龍頭","Please make sure to turn off the faucet tightly after you wash your hands.","洗完手後，請務必把水龍頭關緊。"
"644","fault","n.","錯誤、缺點、責任","It was my fault that I forgot to bring the map for our hiking trip.","我忘了帶健行之旅的地圖，那是我的錯（責任）。"
"645","favor","n./v.","幫助、好意；偏愛","Could you do me a favor and help me carry these heavy boxes?","你能幫我一個忙，幫我搬這些沉重的箱子嗎？"
"646","favorite","adj.","最喜愛的","Spaghetti with tomato sauce is my favorite dish at this Italian restaurant.","番茄醬義大利麵是我在這家義大利餐廳裡最喜愛的菜餚。"
"647","fear","n./v.","恐懼、害怕","Many people have a natural fear of spiders, even if they are small.","許多人對蜘蛛有與生俱來的恐懼，即使牠們很小。"
"648","February","n.","二月","Valentine's Day is a romantic festival celebrated every year on February 14th.","情人節是每年二月十四日慶祝的浪漫節日。"
"649","fee","n.","費用、服務費","The school charges a small fee for joining the after-school music club.","學校對參加課後音樂社團收取少許費用。"
"650","feed","v./n.","餵食、飼養；飼料","We go to the park every Sunday to feed the cute ducks in the pond.","我們每個星期天都去公園餵池塘裡可愛的鴨子。"
"651","feel","v.","感覺、覺得","I feel much better after taking a long nap and drinking some warm water.","小睡片刻並喝了一些溫開水後，我感覺好多了。"
"652","feeling","n.","感覺、情緒","She had a strange feeling that something unexpected was going to happen.","她有一種奇怪的感覺，覺得有些出乎意料的事情即將發生。"
"653","fellow","n.","傢伙、夥伴、同事","He is a helpful fellow who is always ready to assist anyone in trouble.","他是個樂於助人的傢伙，總是準備好幫助任何有困難的人。"
"654","fence","n.","柵欄、圍牆","The cat jumped over the wooden fence and disappeared into the garden.","那隻貓跳過木製柵欄，消失在花園裡。"
"655","festival","n.","節日、慶典","The Lantern Festival is a traditional event celebrated on the 15th day of the Lunar New Year.","元宵節是農曆新年第十五天慶祝的傳統活動。"
"656","fever","n.","發燒","He had a high fever last night, so he stayed in bed to get some rest.","他昨晚發高燒，所以待在床上休息。"
"657","few","adj.","很少的、些許的","I have only a few close friends who I can share all my secrets with.","我只有幾個可以分享我所有祕密的知心好友。"
"658","field","n.","原野、田地、領域","The green field is full of beautiful wildflowers during the early spring.","早春時，這片綠色的原野上開滿了美麗的野花。"
"659","fifteen","n./adj.","十五；十五的","He spent fifteen minutes reading the daily newspaper before leaving for work.","他在去上班之前花了十五分鐘讀報紙。"
"660","fifty","n./adj.","五十；五十的","There are fifty stars on the American flag, representing the fifty states.","美國國旗上有五十顆星星，代表五十個州。"
"661","fight","n./v.","打架、戰鬥；打架、爭吵","The two brothers stopped their fight after their mother came into the room.","那兩個兄弟在母親走進房間後，停止了他們的打架。"
"662","figure","n./v.","數字、外型、人物；計算、認為","The report includes several charts and figures to show the company's growth.","這份報告包含了數張圖表和數字，以顯示公司的成長。"
"663","fill","v.","填滿、充滿","Could you please fill this glass with cold water for me?","可以請你幫我把這個杯子裝滿冷水嗎？"
"664","film","n./v.","電影、膠捲；拍攝","This classic film tells a moving story about a dog and its owner.","這部經典電影講述了一個關於狗與其主人的感人故事。"
"665","final","adj.","最後的、最終的","Students are very nervous because the final exam is coming next week.","學生們感到非常緊張，因為期末考下週就要到了。"
"666","finally","adv.","終於、最後","After waiting for two hours, the bus finally arrived at the station.","在等了兩小時之後，公車終於抵達了車站。"
"667","find","v.","找到、發現","I was happy to find my lost key under the kitchen table.","我很開心在廚房餐桌下找到了我遺失的鑰匙。"
"668","fine","adj./n.","好的、健康的；罰款","The weather is fine today, so we decided to go for a picnic in the park.","今天天氣很好，所以我們決定去公園野餐。"
"669","finger","n./v.","手指；用手指觸摸","She pointed her finger at the map to show us the way to the hotel.","她用手指著地圖，為我們指出前往飯店的路。"
"670","finish","v./n.","完成、結束；終點","I need to finish my homework before I can watch my favorite TV show.","在看我最喜歡的電視節目之前，我得先完成我的家庭作業。"
"671","fire","n./v.","火、火災；解僱、開火","The camping group started a small fire to keep themselves warm at night.","露營小組生了一小堆火，好讓他們在夜裡保持溫暖。"
"672","fireman","n.","消防員","The brave fireman saved the little cat from the tall burning building.","那位勇敢的消防員從那棟高聳燃燒的大樓中救出了小貓。"
"673","first","adj./adv./n.","第一的；首先；第一名","She was the first person to arrive at the meeting room this morning.","她是今天早上第一個抵達會議室的人。"
"674","fish","n./v.","魚、魚肉；釣魚","He likes to go to the river to catch some fresh fish on the weekend.","他喜歡在週末去河邊釣一些新鮮的魚。"
"675","fisherman","n.","漁夫","The fisherman went out to sea early in the morning to catch fish.","那位漁夫清晨就出海去捕魚了。"
"676","fist","n.","拳頭","He clenched his fist in anger when he heard the unfair news.","當他聽到那則不公平的消息時，氣得握緊了拳頭。"
"677","fit","v./adj.","合適、合身；健康的","This jacket doesn't fit me anymore because I have grown taller.","這件外套不再適合我了，因為我長高了。"
"678","five","n./adj.","五；五個的","There are five members in her family, including her parents and two brothers.","她家有五個成員，包含她的父母親和兩個兄弟。"
"679","fix","v.","修理、解決","My father is trying to fix the broken computer in the study room.","我父親正在試著修理書房裡那台壞掉的電腦。"
"680","flag","n.","旗幟","The national flag was flying high above the school building in the wind.","國旗在風中高高地飄揚在學校大樓之上。"
"681","flash","n./v.","閃光、閃現；閃爍","The sudden flash of lightning scared the puppy hiding under the bed.","突然的閃電亮光嚇到了躲在床底下的幼犬。"
"682","flat","adj./n.","平坦的、洩氣的；公寓","The road is very flat, so it is easy to ride a bicycle here.","這條路很平坦，所以在這騎腳踏車很輕鬆。"
"683","flavor","n.","口味、味道","This ice cream shop offers many different flavors, such as chocolate and vanilla.","這家冰淇淋店提供了許多不同的口味，例如巧克力和香草。"
"684","flee","v.","逃離、逃跑","The birds fled the forest when they heard the loud noise of the machine.","當鳥兒們聽到機器傳出的巨大聲響時，便逃離了森林。"
"685","flight","n.","班機、飛行","Our flight was delayed for two hours because of the bad weather.","我們的班機因為惡劣的天氣延誤了兩小時。"
"686","float","v.","漂浮","The dry leaves floated on the surface of the quiet lake.","乾枯的葉子漂浮在寧靜的湖面上。"
"687","floor","n.","地板、樓層","Please help me sweep the floor before our guests arrive for dinner.","請在客人抵達吃晚餐前幫我掃地（掃地板）。"
"688","flour","n.","麵粉","You need some flour, sugar, and eggs to bake a delicious cake.","你需要一些麵粉、糖和雞蛋來烘焙一個美味的蛋糕。"
